Company,Stock_Code,Date,Current_Asset,Current_Liability,Inventory,Total_Liability,Total_Assets,EBIT,Interest_Expense,Accounts_Receivable,Accounts_Payable,Sales_revenue,Cost_of_Sales,Net_Profit,NOI,Net_Cash_Flows_from_Operating_Activities,Capital_Eexpenditure,,ROE,,,,,Current Ratio,Quick Ratio,Debt to Assets Ratio,Interest Coverage Ratio,Inventory Turnover Ratio,Accounts Receivable Turnover Ratio,Gross Profit Margin,Net Profit Margin,Capitalization Rate,Operating Cash Flow to Profit Ratio
公司名称,股票代码,报告时限,流动资产,流动负债,存货,总负债,总资产/资产总值,息税前利润,利息费用,平均应收账款（平均？）,应付账款,销售收入(销售商品、提供劳务收到的现金/营业收入？),销售成本(销售费用),净利润,年净营运收入NOI,经营活动产生的现金流量净额,资本支出,,净资产收益率,,,,,,,,,,,,,,
BiGuiYuan,2007,2023_Half_Year,1432645,1190274,7531,190487.89,1618529,5358,7054,30508,460035,226309,250572,40835,-45213,472.81,125.53,,-0.2048,,,,,1.203626224,1.197299109,0.117691985,0.759569039,33.27207542,7.418021503,-0.107211821,0.180439134,-0.027934625,0.011578548
BiGuiYuan,2007,2022_Year,1537082,1231209,7277,108151,1744467,5361,3892,34879,441180,430371,397488,-2962,6442,4355.9,278.99,,0.0002,,,,,1.248433044,1.242522594,0.061996587,1.377440904,54.62250928,12.33897187,0.07640617,-0.006882434,0.003692818,-1.470594193
BiGuiYuan,2007,2022_Half_Year,1676216,1339059,9239,237254,1891479,5358,1962,34039,504997,162363,145153,1907,7044,784.59,131.74,,-0.0216,,,,,1.251786516,1.244886894,0.125433061,2.73088685,15.71089945,4.769910984,0.105997056,0.011745287,0.00372407,0.411426324
BiGuiYuan,2007,2021_Year,1713937,1378905,9689,258700.01,1948365,68949,4201,36212,460035,523064,430282,40982,60399,1704.27,564.43,,0.0005,,,,,1.242969603,1.235943013,0.132778001,16.41252083,44.40933017,14.44449354,0.177381735,0.078349877,0.030999838,0.041585818
BiGuiYuan,2007,2021_Half_Year,1766568,1469637,9566,270783.97,2017460,37245,2142,36248,441180,234930,188646,22420,32220,1615.41,216.03,,-0.0204,,,,,1.20204377,1.19553468,0.134220242,17.38795518,19.72046833,6.481185169,0.197011876,0.095432682,0.015970577,0.072052186
BiGuiYuan,2007,2020_Year,1742156,1492959,10907,268959.37,2015809,85529,2723,35955,504997,462856,361951,54118,71965,-3307.85,622.09,,0.0006,,,,,1.166914832,1.159609206,0.133425027,31.40984209,33.18520216,12.87320261,0.218005168,0.116921894,0.035700307,-0.061122917
BiGuiYuan,2007,2020_Half_Year,1706590,1453993,9029,244051.2,1963269,35887,2220,37699,460035,184957,140070,21926,31418,-2269.54,219.58,,-0.021,,,,,1.173726421,1.167516625,0.124308589,16.16531532,15.51334589,4.906151357,0.242688841,0.118546473,0.016002901,-0.103509076
HengDa,3333,2023_Half_Year,1578464,2291566,896,96634,1743997,-32412,1881.48,31408.66,1056574,128181,118385,-39248,-11720,5437,1666.31,,0.0591,,,,,0.688814549,0.68842355,0.055409499,-17.22686396,132.1261161,4.081071908,0.076423183,-0.306192025,-0.006720195,-0.138529352
HengDa,3333,2022_Year,1665189,2352923,532,2437412,1838338,-112763,4901.82,32834.32,1002264,230067,205080,-125814,-64408,41605,1666.31,,0.2084,,,,,0.707710792,0.70748469,1.325878049,-23.00431268,385.4887218,7.006906188,0.108607493,-0.546858089,-0.035035994,-0.330686569
